product_id,title,category,description,age_range,colors,specifications,images,price,discount_price,stock_status,warranty,created_at
GURTOY-GKE-011,Gurtoy Kids Electric Police Motorcycle – Adventure Awaits!,Electric Bikes & Scooters for Kids,"Introducing the Gurtoy Kids Electric Police Motorcycle, designed for little heroes! With exciting features that ensure fun and safety, this ride-on toy is perfect for imaginative play. - 🚔 **Authentic Polizei Design**: Realistic look that sparks creativity and adventure. - 💡 **Vibrant LED Lights**: Brighten up every ride for extra excitement. - 📢 **Engaging Siren Sounds**: Adds thrill to every journey, inspiring imaginative play!",3-8 years,"[""Multicolor""]","{""battery"": ""12V"", ""features"": [""LED Lights"", ""Music System""]}","[""https://dukaan.b-cdn.net/700x700/webp/media/e4f2fe1b-7af5-46c1-b590-5befe11682fc.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/d929a67f-dbb6-4fd6-9492-d27ba648b0e1.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/4f707cd0-eb6a-45cf-a993-931c357feace.png""]",31000,1,in_stock,6 months manufacturer warranty,2025-10-03T18:18:21.270716
GURTOY-G8B-012,Gurtoy 888 Battery Operated Ride-on Jeep for Kids,Electric Ride-On Jeeps & Cars for Kids,Let your little one embark on thrilling adventures with the Gurtoy 888 Jeep! This ride-on vehicle combines fun and safety for an exciting driving experience. - Realistic SUV design sparks imagination and adventure. - Rechargeable battery for endless playtime fun. - Safety features including seat belts and remote control operation.,1-4 years,"[""Multicolor""]","{""battery"": ""12V"", ""features"": [""Remote Control"", ""Safety Belt""]}","[""https://dukaan.b-cdn.net/700x700/webp/media/393ab432-0f31-4a21-b180-c09b857642fa.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/e60f349f-05d8-4b1b-89b7-2f79a81c24c7.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/caa240f4-bb32-4b8f-b056-1da73f78b6f5.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/d4531be6-7f51-48a5-9a2b-b0503290e666.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/a924291f-dc82-402a-9ea3-7763c686a922.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/7083b372-b40e-4e5d-a648-ddfe20339437.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/0997f328-10be-45d0-896d-f604a8ceccc9.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/a14d282f-7c1b-4c47-b887-6e049e7ab322.png""]",17000,1,in_stock,6 months manufacturer warranty,2025-10-03T18:18:21.271194
GURTOY-GKE-013,Gurtoy Kids Electric Ride-On Cruiser Bike,Electric Bikes & Scooters for Kids,"Introducing the Gurtoy Kids Electric Ride-On Cruiser Bike, a stylish adventure for little explorers! This battery-operated motorcycle is perfect for imaginative play and outdoor fun. - Fun and Stylish Design: Bright colours make every ride exciting! - Easy to Operate: Push-button controls for simple, safe rides. - Long-lasting Battery: Enjoy hours of uninterrupted fun on the go.",1-4 years,"[""Multicolor""]","{""battery"": ""12V"", ""features"": [""LED Lights"", ""Music System""]}","[""https://dukaan.b-cdn.net/700x700/webp/media/33b31729-3f5f-4869-be7b-1a3ffc37caa7.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/c20123d7-4d8e-422a-ba4d-fd084f4b50e0.png""]",11000,1,in_stock,6 months manufacturer warranty,2025-10-03T18:18:21.271828
GURTOY-GTJ-014,GURTOY® ThunderX Jeep Style 12V Electric Ride-On Car - Red,Electric Ride-On Jeeps & Cars for Kids,"Get ready for thrilling adventures with the Gurtoy ThunderX Jeep! This stylish ride-on car is perfect for young explorers, combining fun and safety. - Bold red design for an exciting look! - Built-in music system for endless entertainment! - Bright LED lights for night-time adventures! Age:",3-8 years,"[""Red""]","{""battery"": ""12V"", ""features"": [""LED Lights"", ""Music System""]}","[""https://dukaan.b-cdn.net/700x700/webp/media/e892f010-cbe7-4495-b304-e09b9963702c.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/e66bcbc9-1d63-4c7e-9aea-a70869f13b4a.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/c61a7990-4b91-4bd2-805e-b43358b9bb42.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/b064fba5-c9f7-47e0-bae2-c9c8324256e3.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/04fb5abc-4e4a-49c8-bc3a-c1d2273172ca.png""]",31000,1,in_stock,6 months manufacturer warranty,2025-10-03T18:18:21.272329
GURTOY-G–B-015,Gurtoy – Battery-Powered Electric Ride-On Jeep for Young Adventurers,Electric Ride-On Jeeps & Cars for Kids,"The Gurtoy Ride-On Jeep is perfect for little explorers ready to take on any adventure. With its stunning design and powerful features, this jeep promises endless fun! - 4×4 drive system for all-terrain fun - Bright LED headlights for safety and style - Durable build for long-lasting playtime",1-8 years,"[""Red""]","{""battery"": ""12V"", ""features"": [""LED Lights""]}","[""https://dukaan.b-cdn.net/700x700/webp/media/df400f63-d113-433e-a0e0-0378637dbf37.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/73f5a249-f6ce-49da-98d2-03d7ae5e719d.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/f5e148da-ad03-4a9b-b346-64d16b3aaa90.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/be16e63f-cfa4-4a7d-8ea2-794d4b8be514.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/fddfbb5c-b958-493a-9f01-49bb66905e32.png""]",42000,1,in_stock,6 months manufacturer warranty,2025-10-03T18:18:21.272944
GURTOY-GKE-016,Gurtoy Kids Electric Ride-On Sports Bike,Electric Bikes & Scooters for Kids,"Get ready for thrilling adventures with the Gurtoy Kids Electric Ride-On Sports Bike! This stylish bike is designed for fun, safety, and excitement. - 🎶 Built-in music for endless entertainment on rides - 💡 Bright lights for safe playtime, even at night - 🔒 Sturdy construction ensures a safe ride for your little ones.",3-8 years,"[""Multicolor""]","{""battery"": ""12V"", ""features"": [""LED Lights"", ""Music System""]}","[""https://dukaan.b-cdn.net/700x700/webp/media/e4034c94-d32d-4907-ada1-c5051560f2ff.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/f2d73547-086e-46b2-8956-afe0914fe578.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/483e6b41-10b8-4e77-9830-7d2f2703f825.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/138b792c-7def-4492-9e23-ac417f77ae81.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/92c7e0b9-0d61-4f1d-9135-61bb3ebe0c1f.png""]",29000,1,in_stock,6 months manufacturer warranty,2025-10-03T18:18:21.273590
GURTOY-GBE-017,"Gurtoy BH-998 Electric Ride-On Jeep for Kids – 12V Battery Operated Car with Remote Control, LED Lights, Music & Big Tyres (White)",Electric Ride-On Jeeps & Cars for Kids,"Introducing the Gurtoy BH-998 Electric Ride-On Jeep for Kids, a thrilling adventure on wheels that promises your little ones endless fun and excitement! This stylish white jeep is designed with both safety and entertainment in mind, featuring a robust 12V battery that powers smooth rides for an exhilarating driving experience. Equipped with a remote control for parents to ensure a safe journey, the vehicle is adorned with vibrant LED lights, a built-in music system, and large tires for off-road capability. Ideal for outdoor play, this electric ride-on not only captivates your child's imagination but also helps develop motor skills and independence. - 🚗 Powered by a durable 12V battery for lasting adventures! - 🎮 Features a parent-controlled remote for added safety! - 🎶 Built-in music system to keep the fun going! - 💡 Eye-catching LED lights for a stylish ride, day or night! - 🏞️ Big tires designed for off-road exploration!",3-8 years,"[""Red"", ""White""]","{""battery"": ""12V"", ""features"": [""LED Lights"", ""Music System"", ""Remote Control""]}","[""https://dukaan.b-cdn.net/700x700/webp/media/6eeff9a3-ee4d-4710-be68-a2c0d2e14395.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/eb690c68-76c0-4474-b807-50677d9488a4.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/05327e8d-00b8-4e25-8327-d178d5c5bdc7.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/fd57cb2e-e837-48ea-97da-a6aeb4d8e503.png""]",29000,1,in_stock,6 months manufacturer warranty,2025-10-03T18:18:21.274886
GURTOY-GKR-018,Gurtoy Kids Ride-On Superbike – Electric Sports Motorcycle,Electric Bikes & Scooters for Kids,"Ignite your child's imagination with the Gurtoy Kids Ride-On Superbike! This stylish battery-operated motorcycle is designed for kids aged 3 to 7 years, ensuring fun and safe adventures. - Realistic motorcycle design for authentic playtime. - Long-lasting rechargeable battery for hours of enjoyment. - Built-in music and sound effects for added excitement.",3-7 years,"[""Multicolor""]","{""battery"": ""12V"", ""features"": [""Music System""]}","[""https://dukaan.b-cdn.net/700x700/webp/media/3624f52b-cdf0-4d64-aea1-77223b18edb2.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/5a776808-1ce5-4b1a-b852-543283fe01ec.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/68e34b78-923d-41c8-ad62-e87f130f0212.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/4cb2cd94-df75-4f6c-907e-b0e7708d3afb.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/89ea6482-c618-4c2d-9db7-bf9cf45030c3.png""]",18750,1,in_stock,6 months manufacturer warranty,2025-10-03T18:18:21.275382
GURTOY-GDP-019,GURTOY® DIRT PLUS 50cc Petrol Dirt Bike – Orange Edition,Petrol Bike & Cars for Kids,Get ready for thrilling adventures with the GURTOY® DIRT PLUS 50cc Petrol Dirt Bike! This stylish bike is perfect for young riders eager to explore the outdoors. - **Powerful 50cc engine** balances fun and safety! - **Automatic transmission** makes riding hassle-free for kids! - **Self + pull start options** for quick ignition! Age: Age:10-up,3-8 years,"[""Orange""]","{""battery"": ""12V"", ""features"": [""LED Lights"", ""Music System""]}","[""https://dukaan.b-cdn.net/700x700/webp/media/395d3ea3-fb99-4327-b35a-b04ab5c00845.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/0f291926-57e0-4e37-b1b2-f01baba568ae.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/ef0edeed-79f8-42e7-a53d-36776401a049.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/728879f6-5b93-4ebf-aeb6-3f6d2a60f10e.png""]",84000,1,in_stock,6 months manufacturer warranty,2025-10-03T18:18:21.276266
GURTOY-GER-020,Gurtoy Electric Ride-On Jeep for Kids – Adventure Awaits!,Electric Ride-On Jeeps & Cars for Kids,"Introducing the Gurtoy Electric Ride-On Jeep, designed for little explorers! This stylish ride-on offers a thrilling experience for imaginative play. - Sleek design that excites young adventurers. - Reliable battery for long-lasting fun. - Safety features ensure a secure ride.",1-4 years,"[""Multicolor""]","{""battery"": ""12V"", ""features"": [""LED Lights"", ""Music System""]}","[""https://dukaan.b-cdn.net/700x700/webp/media/932af904-6fba-4ef6-8a32-d1be3727c097.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/c4ac31b1-8ac1-4902-a325-d28f3ad33ee1.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/ad9d88af-0b06-4e81-84b5-4adc977272d7.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/feab4c20-c553-409d-abec-90f4eca548f7.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/1c50dca3-3845-48e8-bef4-2cc1f7d6521f.png""]",17000,1,in_stock,6 months manufacturer warranty,2025-10-03T18:18:21.276698
GURTOY-GMI-021,Gurtoy Mercedes-Benz Inspired Electric Ride-On Jeep for Kids,Electric Ride-On Jeeps & Cars for Kids,Let your little adventurer enjoy thrilling rides in this stylish jeep! - Eye-catching red design with LED lights for fun adventures. - Parental remote control for added safety and peace of mind. - Built-in music system to keep them entertained on the go.,1-4 years,"[""Red""]","{""battery"": ""12V"", ""features"": [""LED Lights"", ""Music System"", ""Remote Control""]}","[""https://dukaan.b-cdn.net/700x700/webp/media/d3a1b801-009b-465b-8a3e-8122c0ba2616.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/53134426-2ce5-43d4-a300-480dd1b966c3.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/5c89109d-7bbd-4a21-a4a4-67a1f77c0c5e.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/7744fa02-00f4-4186-8805-f8157d21446d.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/6b84d7f2-bf95-4646-86a2-dd36c717a6a9.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/6dbb6bd3-d460-4e86-9640-e9891eec72e0.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/1272a0c2-e886-4329-9b02-deaba848834f.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/8810f476-c028-4ac3-a5ba-c9755880acc1.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/6778fd35-df26-41e5-9238-dbad06c5cf36.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/ca6b1fe3-f977-4f1d-9b8c-c127266d778f.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/8de2ebab-fbe9-46f9-8c4e-8bb975605430.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/d7b8839b-251e-45b4-97e5-bb76a0fe2c2b.png""]",17000,1,in_stock,6 months manufacturer warranty,2025-10-03T18:18:21.277113
GURTOY-GDP-022,GURTOY® DIRT PLUS 50cc Kids Petrol Dirt Bike – Green Edition,Petrol Bike & Cars for Kids,Unleash your child's adventurous spirit with the GURTOY® DIRT PLUS 50cc Dirt Bike! This vibrant off-road bike offers thrilling rides and easy handling. - 50cc engine provides exciting speeds for young adventurers! - Simple self and pull start for quick fun! - Automatic gears ensure smooth and easy riding! Age: 12–up years,3-8 years,"[""Green""]","{""battery"": ""12V"", ""features"": [""LED Lights"", ""Music System""]}","[""https://dukaan.b-cdn.net/700x700/webp/media/9eb654d9-7cca-4606-b7c8-9608fac7a0f8.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/3132bab9-7d08-46c8-9653-21b4448d7611.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/356231ae-a568-46d0-8788-447ec3875b4c.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/1993f61c-1ac3-4b99-9db5-684108a4fe7a.png""]",84000,1,in_stock,6 months manufacturer warranty,2025-10-03T18:18:21.278068
GURTOY-GGE-023,Gurtoy G63 Electric Ride-On Jeep for Kids,Electric Ride-On Jeeps & Cars for Kids,Let your child embark on exciting adventures with the Gurtoy G63 Electric Ride-On Jeep. This stylish jeep features a robust design and plenty of fun features for a thrilling ride. • 12V battery and dual motors for smooth cruising. • LED lights and music system for added enjoyment. • Parental remote control for safe supervision.,3-8 years,"[""Multicolor""]","{""battery"": ""12V"", ""features"": [""LED Lights"", ""Music System"", ""Remote Control""]}","[""https://dukaan.b-cdn.net/700x700/webp/media/9c6d607d-f982-43de-8dd3-7a4de0275bc8.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/7a8c670f-9fae-4f61-aebe-83130da9aaa2.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/d78900b4-6070-45de-9d11-91261f80807f.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/ae7f97e9-c6f4-44ae-915f-fba07a48ba64.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/9320ec83-c1c8-4e0f-9a73-594ab528d2fa.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/92df0923-a94e-481e-ab07-1bb65142f1dc.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/6cc03245-b500-43fe-8112-5b79169e9f8d.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/127644ce-8486-49bd-9802-011cc5a91d4b.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/086cd8ee-2d34-4a16-b9c8-bbfc27ac1eea.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/6d5c144d-fc1f-48a3-91eb-7eea0b1b1f6c.png""]",17000,1,in_stock,6 months manufacturer warranty,2025-10-03T18:18:21.278832
GURTOY-GKE-024,Gurtoy Kids Electric Scooter – Fun & Safe 3-Wheel Ride,Electric Bikes & Scooters for Kids,"Introducing the Gurtoy Kids Electric Scooter, designed for safe and exciting adventures! This scooter combines stability, fun features, and vibrant colours to delight your little one. • Pre-assembled and ready to ride – No setup needed! • Engaging music and LED lights for exciting rides. • Durable 3-wheel design for enhanced stability and comfort.",1-5 years,"[""Multicolor""]","{""battery"": ""12V"", ""features"": [""LED Lights"", ""Music System""]}","[""https://dukaan.b-cdn.net/700x700/webp/media/9fac49c3-8f8d-4453-9e3c-82ef5bddc599.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/390dbacf-d4de-4db5-b1a5-45f1c4a376ee.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/658ca680-06c6-48ad-a0c4-ff2ea11ec752.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/dcca2410-1947-4964-8cda-2b63fe7cb5b0.png"", ""https://dukaan.b-cdn.net/700x700/webp/media/191d8614-41a2-4969-b1b4-c7c35c7ed97a.png""]",8000,1,in_stock,6 months manufacturer warranty,2025-10-03T18:18:21.279440
